reading	hanri	priority	corrected	english
등4	唐	1		Tang; Chinese
등랑4	唐人	1		Chinese person
등랑웨5	唐人話	1		Chinese speech
등솰1	唐山	1		China
듸1	豬	1		pig
듸5빻	豬肉	1		pork
디5	弟	1		younger brother
딜1	甜	1		sweet
딜5궤2	甜粿	1		sweet rice cake
ᄃᅷ	鬥	1		join; put together
ᄃᅷ2되2	到底	1		in the end; after all
ᄃᅷ2딘5	鬥陣	1		together; accompany
ᄃᅷ5	豆	1		bean
ᄃᅷ장	豆粽	1		bean rice dumpling
ᄃᅷ후5	豆腐	1		tofu
ᄃᅷ훼1	豆花	1		tofu pudding
ᄃᅷ훼5쥐2	豆花水	1		soybean drink
ᄃᆤ4	條	1		strip; classifier for long things
ᄃힻ1ᄃힻ2	短短	1		short; briefly
ᄃힻ2	短	1		short
뗸4	然	1		so; thus
또디1	또디ˆ	1		
뙇1	熱	1		hot
뚜4	如	1		as; like
띠5	二	1		two
띠5	字	1		character; word
띠잡1	二十	1		twenty
띠잡커1	二十箍	1		twenty dollars
띤삔4	人民	1		people
띤솅1	人生	1		life
띤수5	人事	2		human affairs; personnel
띤심1	人參	3		ginseng
띤졩4	人情	1		human feeling; favour
띧1	日	1		day; sun
띧1’시	日’시	1		day; sun
띧분1랑4	日本人	1		Japanese person
띧분2	日本	1		Japan
띱1	入	1		enter
띱ᄏᅷ2	入口	1		entrance
락1	六	1		six
락밯	六百	1		six hundred
락잡1	六十	1		sixty
란고	難過	1		sad; difficult to bear
람4	南	1		south
람왈1	南安	1		Nan-an
람율4	南洋	1		Nanyang; Southeast Asia
랑4	人	1		person; people
랑4	聾	2		deaf
랑5	弄	3		play with; make
래4	來	1		come
래5	內	2		inside
럄5	念	1		read aloud; miss; think of
럄곙1	念經	1		chant scripture
러1롁1	努力	1		work hard
러2	魯	2		rude; dull
러5	路	1		road; way
러5	露	3		dew; expose
러영5	路用	1		useful
러옝5	路用	1		useful
럭1	樂	1		music
럭강2	鹿港	1		Lukang
럭폑	落魄	1		down and out
렁5	浪	1		wave; wander
렁주2	浪子	1		wanderer; prodigal
레1ᄆᅷ5	禮貌	1		manners; politeness
레2	禮	1		ritual; courtesy
령1겅1	兩光	1		half-baked; unreliable
령4	龍	1		dragon
령심1	良心	1		conscience
령해2	龍海	1		Longhai
롁데4	綠茶	1		green tea
롇챠1	列車	1		train
롕1	奶	1		milk; breast
롕1담5	冷淡	1		cold; indifferent
롕1롕2	冷冷	1		cold
롕1키	冷氣	1		air conditioning
롕2	冷	1		cold
롕4	龍	1		dragon
로소1	囉嗦	1		long-winded; troublesome
롷1	落	1		fall; drop
롷허5	落雨	1		rain
롼겅2	亂講	1		talk nonsense
롼래4	亂來	1		act recklessly
롼졩4	戀情	1		romance; love affair
릐1호2	릐ˆ호ˋ	1		hello
리1강1	理工	1		science and engineering
리1셩2	理想	1		ideal
리1호2*	릐ˆ호ˋ	1	릐1호2	hello
리2	理	1		reason; manage
림1	飲	1		drink
림1’롷킈	飲’롷킈	1		drink
림5데4	飲茶	1		drink tea; yum cha
림5쥐2	飲水	1		drink water
림5쥬2	飲酒	1		drink alcohol
림5틍1	飲湯	1		drink soup
림추2강2	林厝港	1		Lim Chu Kang
ᄅᅷ	漏	3		leak
ᄅᅷ2퀴	漏氣	1		lose face; be embarrassing
ᄅᅷ4	流	1		flow
ᄅᅷ4	樓	1		building; floor
ᄅᅷ5	老	2		old
ᄅᅷᄀᅷ4	老猴	1		old monkey
ᄅᅷ베5	老爸	1		father; dad
ᄅᅷ뿌2	老母	1		mother
ᄅᅷ컥1컥	老컥ˆ컥	1		old
ᄅᆤ1개2	了解	1		understand
마1래세5아1	馬來西亞	1		Malaysia
마1래세5아5랑4	馬來西亞人	1		Malaysian person
마1저2	媽祖	1		Mazu
마2	馬	1		horse
마2	媽	1		mother; mom
매5로1	매ˉ로ˆ	1		
먀5	命	1		life; fate
메4’시	暝’시	1		night
메5끼1	메ˉ끼ˆ	1		
메5끼5미5	메ˉ끼ˉ麵	1		noodles
뭬5	妹	1		younger sister
뮈1띧1	每日	1		every day
믕4	門	1		door; gate
믕4	毛	3		hair; fur
믕5	問	1		ask
미4’시	暝’시	1		night
미5	麵	1		noodles
미걀2	麵囝	1		small noodles
미봏1	麵薄	1		thin noodles
미솰	麵線	1		mee sua; wheat vermicelli
미솰2거4	麵線糊	1		mee sua paste
바5삳	巴剎	1		market
박	腹	1		belly; abdomen
박	北	1		north
박1걀1	北京	1		Beijing
박1더2	腹肚	1		belly
박1래5	腹內	1		inside the belly
반1	班	1		class; shift
반5기1	班機	1		flight
받랑4	別人	1		other people
방	放	1		put; release
방2강1	放工	1		finish work
방2새2	放屎	1		defecate
밯	百	1		hundred
밯1커1	百箍	1		hundred dollars
뱔	拚	2		struggle; fight; work hard
뱔2	餅	1		cake; biscuit
버5	步	1		step
벻1	白	1		white
벻틍4	白糖	1		white sugar
벻틍궤2	白糖粿	1		white sugar rice cake
볜	變	1		change
볜덩1	便當	1		boxed meal; bento
볭4	朋	2		friend
볭4	平	1		flat; level; peaceful
볭셩4	平常	1		ordinary; usually
볭유2	朋友	1		friend
보	報	1		report; newspaper
보2	寶	2		treasure; precious
