reading	hanri	priority	corrected	english
아1	鴉	1		crow
아5폔	鴉片	1		opium
댬5	店	1		coffee shop
빻1굳1데4	肉骨茶	1		bak kut teh
굳	骨	1		bone
빻1괄1	肉乾	1		meat
샤1풰1	寫批	1		write a letter
빋	筆	1		pen; brush
옌빋	鉛筆	1		pencil
츄1기1	手機	1		mobile phone
츄1기5아2	手機仔	1		mobile phone
뾔1뾔5	買賣	1		business; trade
쇼5빻1장	燒肉粽	1		hot rice dumpling
빡걀	目鏡	1		eye
옌4	緣	1		fate; connection
ᄃᅷ4	投	1		throw; invest
댬	踮	1		stand on tiptoe; stay
띤진1	認真	1		true; really
쉬2	媠	1		beautiful
주1랑4	主人	1		owner; host
조2강1	做工	1		work
삔셱	面色	1		complexion; facial expression; colour
죄2강1	做工	1		work
볜솅4	變成	1		change
짇듈1	一張	1		one
ᄌᅷ1췌5	走揣	1		run; leave
졩러5	前路	1		road ahead; future path
캄1켿1	坎坷	1		bumpy; difficult; ill-fated
캄1캬1	坎欹	1		pit; uneven; tilted; leaning
퀴5엉2	開往	1		depart for; bound for
준쟣	船隻	1		boat
코2활5	靠岸	1		come ashore; dock
활5	岸	1		shore; bank
테1훼5	體會	1		understand; realise; realisation
쉬4	隨	1		follow; according to
밓걀5	物件	1		thing
ᄅᆤ1ᄋᅷ5	了後	1		after; afterwards
쇠2한	細漢	1		small; young
받아2	菝仔	1		guava
받1	菝	1		smilax
태2더5	態度	1		attitude; behaviour; manner; outlook
인	應	1		should; respond
청	創	1		create; wound
리1유4	理由	1		reason; grounds; justification
개1쉫	解說	1		explain; narrate; commentary
완5게1	冤家	1		enemy; sweetheart; quarrel
준1비5	準備	1		prepare; get ready
증1	裝	1		install; dress
튀튀4	槌槌	1		stupid
바2	飽	1		full; satisfied
바1바2	飽飽	1		full
즤2	子	1		child; son
팍띧1	曝日	1		sunbathe; expose to the sun
솨1	痧	1		acute illness; heatstroke
ᄌᅷ2카1	灶跤	1		kitchen
치5	飼	1		feed; raise
갛	蓋	1		cover; lid
버2데5	布袋	1		cloth bag; gunny sack
자5암	昨暗	1		dark
닥띧1	逐日	1		every day
뎬덩5	電動	1		electric-powered; video game
이2곈	意見	1		opinion
코1롕4	可能	1		ability; can
ᄋᅷ레1배	後禮拜	1		next week
자1등	早頓	1		breakfast
능띤4	卵仁	1		egg
ᄐᅷᄂᅷ2	頭腦	1		head; brain
캉5캉1	空空	1		empty
춛1믕4	出門	1		go out; leave home
둏솨1	著痧	1		get heatstroke
폔5폔1	偏偏	1		contrary to expectation; insistently; only
강5	仝	1		same
캼2제	欠債	1		debt
시2랑4	世人	1		people of the world
헝5췌1	風吹	1		wind
롷터4	落塗	1		fall; drop
셩호2	上好	1		best
죄2훼2	做伙	1		together
짇시2랑4	一世人	1		a lifetime
솰	散	1		scatter; loose
포5	抱	1		hold; embrace
비5셩1	悲傷	1		sad; sorrowful
셩애	上愛	1		above; on; love; want
레1배	禮拜	1		week; worship
뎽1레1배	頂禮拜	1		last week
배	拜	1		worship; visit
배2배	拜拜	1		worship; pray
배2읻	拜一	1		Monday
배2띠5	拜二	1		Tuesday
배2살1	拜三	1		Wednesday
배2시	拜四	1		Thursday
배2꺼5	拜五	1		Friday
배2락1	拜六	1		Saturday
등4	堂	1		hall
ᄀᅷ2등4	教堂	1		church
ᄀᅷ	教	2		teach; religion
가	教	1		teach; religion
퐈2벨5	破病	1		illness
퐈2빌5	破病	1		illness
쇠2	洗	1		wash
귀5강1	規工	1		all day; throughout the day
칸1	牽	1		lead; pull
ᄃᆤᄃᆤ4	牢牢	1		firmly; tightly
졍5래4	將來	1		future; in the future
졍1	將	1		will; general
ᄃᅷ1	兜	1		pocket; around
차1차1ᄂᅷᄂᅷ5	吵吵鬧鬧	1		quarrel; extremely noisy
차1ᄂᅷ5	吵鬧	1		noisy; argue
ᄅᅷ뗻1	鬧熱	1		bustling; lively; noisy
위호4	為何	1		why
방2삭	放捒	1		put; release
죠2걀	照鏡	1		look in a mirror
짐5젹	斟酌	1		pour; consider
홛1혠5	發現	1		discover; find
시시켹1켹	時時刻刻	1		time
캉5희1	空虛	1		empty; hollow; meaningless
룬5	論	1		discuss; theory
쇼1쟈2	小姐	1		Miss; young lady
쥐1질1	水晶	1		crystal; quartz
석1박1	束縛	1		bind; bundle; tie
덕옉1	毒液	1		poison; liquid
주2띱1	注入	1		inject; pour into
챨1믕5	請問	1		ask
우1듀5	宇宙	1		universe; house; time
갈2	敢	1		dare
살5당1	三冬	1		three years
봘	半	1		half
졩풰1	情批	1		love letter
재셱	在室	1		exist; at; room; chamber
미4	暝	1		night
봘2미4	半暝	1		midnight
닥1	逐	1		chase; each
닥강1	逐工	1		every day; daily
강1길4	港墘	1		harbour; Hong Kong; edge; side
띧띧야야5	日日夜夜	1		day and night
홰끼4	懷疑	1		doubt; suspect
수2풰	四配	1		matching; compatible; suitable
ᄀᅷ5붸4	交陪	1		associate; socialise; friendship
죠1	招	1		invite; recruit
추2래5	厝內	1		inside the house; wife
킴4	琴	1		string instrument
돨킴4	彈琴	1		play a musical instrument
ᄎᆤ5ᄎᆤ1	悄悄	1		quietly
일4	圓	1		round; complete
덩5헝1	東方	1		east
안5심1	安心	1		feel at ease
심5안1	心安	1		peaceful; at ease
수5띱홛	輸入法	1		input method
수1	輸	1		lose; transport
이1ᄋᅷ5	以後	1		afterwards; from now on
림4	林	1		forest; surname
유5	佑	1		protect; bless
유5	祐	1		bless; protect
혁	郁	1		fragrant
주4	慈	1		kind; compassionate
안	晏	1		late
찬4	田	1		field
뎬4	田	1		field
츄1	秋	1		autumn
휘1	輝	1		radiance
림뎬4	林田	1		forest; surname; field
듈1	張	1		open; surname
리2	李	1		plum; surname
혱리2	行李	1		luggage
고1	高	1		tall; high
고5팋	高鐵	1		high-speed rail
도5	道	1		road; way
암2캄	暗崁	1		hide; conceal
감1샤5	感謝	1		thank
도5샤5	多謝	1		thanks; thank you
샤5	謝	1		thank; apologise
쟈5	謝	1		thank; apologise
샤줴	謝罪	1		apologise; seek forgiveness
시짇	辭職	1		resign
시ᄐᅷ러5	辭頭路	1		resign from a job
퍽1수5	博士	1		doctorate; PhD; person with a doctorate
수5	士	1		scholar; specialist
퍽1뿓관2	博物館	1		museum
셱수5	碩士	1		master's degree; person with a master's degree
학수5	學士	1		bachelor; scholar
띤수5	人士	1		personage; people
추2래랑4	厝內人	1		wife
벻1셀	百姓	1		common people; ordinary citizens
벻1실	百姓	1		common people; ordinary citizens
주1삔4	子民	1		people; subjects
ᄅᅷ4	劉	1		Liu; surname
븡1	方	1		direction; method
율4	楊	1		willow; surname
열4	楊	1		willow; surname
강2	港	1		harbour; Hong Kong
강1완1	港灣	1		harbour; bay
궤2꼔	過癮	1		satisfy a craving; enjoyable; thrilling
버5	部	1		department; section
버믕4	部門	1		department; division; sector
수5코2	思考	1		think; consider
코2	考	1		test; consider
수1	思	1		think; miss
필	片	1		piece; slice
얄1필	影片	1		video; film
헉1키	福氣	1		good fortune
헉	福	1		blessing; good fortune
쇠2띠5	細膩	1		fine; careful; courteous
삫	覕	1		hide; conceal
욯	臆	1		chest; guess
뮈2	每	1		each; every
감4	含	1		contain; hold in the mouth
취2빌1	喙邊	1		cheek
ᄅᅷ4	留	1		stay; keep
조5	座	1		seat; classifier
샬치5	城市	1		city
훈5퀴1	分開	1		separate
비2삗1	秘密	1		secret
환세	凡勢	1		perhaps; maybe
쟐4	誠	1		sincere; honest
쟐호2	誠好	1		good
캐5시2	開始	1		start; begin
주기5	自己	1		self; oneself
곈	建	1		build; establish
솅4	成	1		become; accomplish
곈5	健	1		healthy; strong
곈컹1	健康	1		healthy; health
귀5셕	歸宿	1		final destination; home; refuge
훈해2	雲海	1		sea
걱	各	1		each
군5엉4	君王	1		lord; ruler; king
밯1니4	百年	1		hundred; year
옌볭4	延平	1		Yanping
세2정1	世宗	1		Sejong; temple name of a monarch
살5길2활1	相見歡	1		happy reunion; joy of meeting
추2	此	1		this
해4	還	1		still; return
운5뿐니1ᅙᅡ2	溫文爾雅	1		gentle; polite; refined
신5ᄋᅷ5	身後	1		behind; after death
퇀4	傳	1		transmit; legend
댬졩5	恬靜	1		quiet; calm; still
어쥐1삔5	湖水面	1		water; face; surface
윃1	劃	1		mark; plan
시1	絲	1		silk; thread
포5뿐4	波紋	1		ripple; corrugation
어쥐2	湖水	1		water
어4	湖	1		lake
쟐	正	1		correct; proper
신5뎍1	身著	1		wearing
첼5ᄑᅷ	青袍	1		green robe
요5괠4	腰懸	1		tall
붸걈	佩劍	1		wear a sword; sword
걱1솅2야4	國姓爺	1		Koxinga; Zheng Chenggong
볭4	爿	1		side; slice
덩2댬5	擋恬	1		block; stop; quiet; calm
ᄃᆤ셴2	朝鮮	1		morning; dynasty; fresh
짇구	一句	1		sentence; line of verse
옌볭엉4	延平王	1		Prince of Yanping
안5롕4	安寧	1		peaceful; tranquil
옌4	延	1		extend; delay
뿐뿐아1쵸	文文仔笑	1		smile gently
팧1죠5허1	拍招呼	1		greet; say hello; give prior notice
솨2래4	紲來	1		come
겅1홛	講法	1		wording; way of saying; explanation
띠4	而	1		and; but
짇시1	一絲	1		tiny amount; trace
솬샿	訕削	1		mock; tease; cut; pare
뚜추2	如此	1		like this; thus
경1키1츄2	拱起手	1		rise; start; hand
규1꼉2	久仰	1		long time; admire; look up
빡쀄2	目尾	1		corner of the eye
샴1	䀐	1		look; glance
짇빡1	一目	1		one glance
훼레2	回禮	1		return a courtesy
경1츄2	拱手	1		hand
빤당1	閩東	1		Mindong
빤당5꾸2	閩東語	1		Mindong language
걀5	件	1		item; piece
과2이	掛意	1		worry; be concerned
뎽1시2랑4	頂世人	1		previous generation
위5	位	1		place; position
군5주2	君子	1		gentleman; virtuous person
옝5암	下昏暗	1		tonight; evening
걀1순1	囝孫	1		child
곋1고2	結果	1		result; outcome; finally
줴2ᄋᅷ5	最後	1		last; finally
앙1	翁	1		old man; father-in-law
두2	拄	1		just; prop up
톈5훈5	天份	1		sky; day
왇1	斡	1		turn; bend
왇ᄐᅷᄌᅷ2	斡頭走	1		head; run; leave
담5꺼5	耽誤	1		delay; hold up
운5뜌4	溫柔	1		gentle; loving; soft
빧	捌	1		know; recognise
ᄋᆤ5규4	要求	1		request; demand
완솅4	完成	1		complete; finish
쇼5뉴5	相讓	1		give way to each other
호1팰2	好歹	1		good or bad
짇배2	一擺	1		one
함5	和	1		and; with; harmony
젹	足	1		enough; foot
짇랑4	一人	1		one person
짇봘	一半	1		half
훈뎡1	雲中	1		in the clouds
뀋일4	月圓	1		full moon
틸5칠1	天星	1		stars
셩5쉬4	相隨	1		follow together
칠1	星	1		star
첼1	星	1		star
슈2	首	1		head; first
졩과1	情歌	1		love song
해1각	海角	1		cape; promontory
틸5빌1	天邊	1		horizon; edge of the sky
대ᄇᆤ2	代表	1		represent; representative
훼5뤼2	花蕊	1		flower; flower bud; stamen
팡5삐5	芳味	1		fragrance; flavor
죻ᄐᅷ4	石頭	1		stone; rock
놔5	爛	1		rotten; overcooked
해1쥐2	海水	1		seawater
침5침1	深深	1		deep
쉬5뗸4	雖然	1		so; thus
세2졩4	世情	1		worldly affairs; social trends
도1	多	1		many; much
볜2화	變化	1		change
루1더4	旅途	1		travel; road; journey
짇퇄1	一攤	1		one
퇄1	攤	1		spread out; stall
해1헝1	海風	1		sea breeze
심5샬1	心聲	1		inner voice; heartfelt thoughts
졩해2	情海	1		sea of love
푸딤4	浮沉	1		rise and fall; drift; float and sink
실2먀5	性命	1		life; survival
셀2먀5	性命	1		life; survival
짇춛	一出	1		one
히	戲	1		play; drama
샵	澀	1		rough; astringent
걈승5커1샵	鹹酸苦澀	1		salty, sour, bitter and astringent; hardships
친5졩4	親情	1		family affection
챨4	晟	1		bright
신5커2	辛苦	1		hard; exhausting; miserable
뵣1훈5	八分	1		eight parts; eighty percent
얄4	贏	1		win
롕1롼2	冷暖	1		cold
붸퐐5	陪伴	1		accompany
한당1	寒冬	1		cold winter
운5롼2	溫暖	1		warm
샹5츄2	雙手	1		hand
캄1캄1켹1켹	坎坎刻刻	1		pit; uneven; carve; moment
형	向	1		toward; direction
야치5	夜市	1		night market
보1비	保庇	1		protect; keep; shelter
래ᄀᅷ	來到	1		come to; arrive
류혱4	流行	1		popular; fashionable
팔5	奅	1		empty; hollow
심5ᄐᅷ4	心頭	1		heart; mind
읻1딛1	一直	1		always; straight
럏1	掠	1		catch; seize
뎽5	定	1		fixed; certain; decide
지2	指	1		finger; point
지1댬2	指點	1		point out; give guidance
신텅1	神通	1		supernatural power
치	試	1		try; test
치2콸2매5	試看覓	1		look; watch
챰5시1	籤詩	1		divination poem
챰1	籤	1		lot; divination slip
시1	詩	1		poem
튜1	抽	1		draw out; pull
죄2롷1	做落	1		do; make; fall; drop
시기1	時機	1		opportunity; timing
쥴5	上	1		up; above; on
신뼹4	神明	1		deity
저딘5	助陣	1		cheer on; support
운더4	運途	1		fate; destiny
처5버5	初步	1		initial; preliminary
환4	凡	1		ordinary; all
셩쇠	詳細	1		detailed; in detail
ᄌᆤ2버걀4	照步行	1		according to; shine; step; walk; go
환수5	凡事	1		everything; in all matters
파5파5ᄌᅷ2	拋拋走	1		run all over the place
폗	撇	1		cast aside; skim
폗1버5	撇步	1		tip; shortcut; useful method
춘1	春	1		spring
춘5허5	春雨	1		rain
거2이	故意	1		intentionally
람4	淋	1		drench; pour
거	故	1		old; reason
셩5심1	傷心	1		sad; heartbroken
내5	奈	1		how; endure
ᄀᅷ2달1	到今	1		until now
뽀채1강1	뽀彩工	1		not work
빡니5	茉莉	1		jasmine
춘5틸1	春天	1		spring
츄5틸1	秋天	1		autumn
헝훈1	黃昏	1		dusk
띧ᄐᅷ4	日頭	1		sun
롷솰1	落山	1		sunset; go down the mountain
오아1졘1	蚵仔煎	1		oyster omelette
오4	蚵	1		oyster
오아2	蚵仔	1		oyster
락1찯	落漆	1		make a fool of oneself; embarrassing
랑게1	人家	1		others; someone; household
호1쥐2	好水	1		good; water
풰	配	1		match; distribute
호1데4	好茶	1		good tea
화5영꽏ᄆᅷ5	花容月貌	1		beautiful; gorgeous
붇	不	1		not; no
졍5귀1	終歸	1		eventually; in the end
락1훼1	落花	1		falling flowers
호추	何處	1		where
긴5미4	今暝	1		night
김5솅1	今生	1		this life
걀5햘4	驚惶	1		scared
댤둏1	定著	1		certainly; definitely; decide
벙헝4	彷徨	1		hesitate; waver; wander
빈4	憑	1		rely on; evidence
꺼댬1봘	五點半	1		five thirty
영1걀5	勇健	1		brave
가2수2	駕駛	1		drive; pilot; driver
쿤2란4	困難	1		difficult; difficulty; hardship
저1깨5	阻礙	1		block; hinder; obstruct
테4	提	1		carry; mention
퀴2랃1	氣力	1		strength; power; energy
위함5	遺憾	1		regret; regrettable
졘4	前	1		before; front
볭안1	平安	1		safe; peaceful; safe and sound
오5너2	婀娜	1		graceful
팍1	曝	1		expose to sun
돠허5	大雨	1		big; great; rain
악	沃	1		water; fertile
뎽1진1	頂真	1		serious; earnest
퀴5챠1	開車	1		drive; start a vehicle
닿1옝	答應	1		answer; agree; promise
롷훃1	落葉	1		fall; drop
뫄1뫄2	滿滿	1		full
슐5싀1	相思	1		lovesickness
럅1	粒	1		grain; particle
리볟1	離別	1		part; separate; farewell
역1석	約束	1		restrict; restrain; agreement; constraint
심5희1	心虛	1		guilty
귀2	幾	1		how many; several
켹	刻	1		carve; moment
각1칠2	覺醒	1		awaken; become aware
뒤롷1	墜落	1		fall; drop
침5킬1	深坑	1		deep; pit; hole
봫	撥	1		push aside; allocate
리5	離	1		leave; apart
뚜김1	如今	1		now; nowadays
치5심1	痴心	1		infatuation
훈옌1	雲煙	1		cloud and mist; transience
키2삐5	氣味	1		smell; flavor
짇춘	一吋	1		one
빤1훼4	挽回	1		recover; save; reverse
욯1	藥	1		medicine
이1	醫	1		medicine; doctor
애5완5	哀怨	1		resent; complain
허샬1	雨聲	1		sound of rain
히5삐4	稀微	1		lonely; lonesome; desolate
상1	鬆	1		loose; relaxed
빵4	茫	1		hazy; confused
쇼5강5	相仝	1		same
ᄉᆤ2롄랑4	少年人	1		young person
영1감2	勇敢	1		brave
돠장4	大欉	1		big; great
턀2심1	疼心	1		compassion; kindness
게2셕1	繼續	1		continue; persist
띤덩4	認同	1		recognise; approve; identify with
삐1빵5	美夢	1		beautiful dream
뼨1경2	勉強	1		reluctant; forced; barely acceptable
쇼1준4	小船	1		small boat
죄2퐐5	做伴	1		keep company
진5심1	真心	1		sincere; wholehearted
졩훈5	情份	1		feeling; affection
기탈1	其他	1		other; others; else
셕의4	屬於	1		belong to; be part of
훈떃	痕跡	1		mark; scar; trace
붸얄2	背影	1		view from behind; figure seen from behind
갛1쟣	胛脊	1		shoulder blade; spine
히2랑5	戲弄	1		tease; play with
쾋	闊	1		wide
ᄑᆤ5폗	飄撇	1		stylish; charming; generous
란뼨2	難免	1		unavoidable; inevitably
유5츄4	憂愁	1		worry; sorrow
완2유4	怨尤	1		resent; complain
쇼5틴5	相伨	1		mutual; appearance
순순5	順順	1		smoothly
괴5치5	街市	1		market; street market
뎡5응1	中央	1		middle; in
뎽5훼2	燈火	1		lights
헝2덩5	放蕩	1		unrestrained; wanton; dissolute
ᄋᆤ1슈5	夭壽	1		die young; wicked; excessive; damn
깐1신4	眼神	1		look in one's eyes
딘1당5	振動	1		vibrate; vibration; tremble
띤겧	人格	1		personality; character; integrity
보1졩	保證	1		guarantee; assure; ensure
효훼2	後悔	1		regret
뻑졩4	目前	1		currently; at present
위지2	為止	1		until; up to
끼4	疑	1		doubt; suspect
리퀴1	離開	1		leave; depart
셩5해5	傷害	1		hurt; harm
이2	已	1		already
조솅4	造成	1		cause; bring about
후졕1띰5	負責任	1		responsible; accountable
위1대5	偉大	1		big; great
강5산5이개2	江山易改	1		mountain; change
단5	但	1		but; only
분1솅2란이4	本性難移	1		root; book; classifier
빡빼4	目眉	1		eye
좐버5	全部	1		all; entire
등1셓1	轉踅	1		turn around
톙4	亭	1		pavilion
톙아1카1	亭仔跤	1		five-foot way; covered walkway
탕아2	窗仔	1		window
능1쟐2	軟䭕	1		soft
좔1율5	怎樣	1		how; appearance; manner
퀴5훼1	開花	1		open
기2딛1	記得	1		remember
ᄐᅷ5ᄐᅷ1	偷偷	1		secretly
꽌빵5	願望	1		wish; desire
담거거4	澹糊糊	1		wet; moist
곙1셱	景色	1		scenery; landscape; view
쟙	接	1		receive; connect
반겅5훼2	辦公伙	1		male
삫1쇼5췌5	覕相揣	1		hide-and-seek
돠한	大漢	1		big; great
령붸5	狼狽	1		awkward; distressed; in disarray
샬1훼	啥貨	1		what
란뻥5	難忘	1		unforgettable; memorable
짇훈1	一分	1		one point; one cent; one minute
짇뾰2	一秒	1		one second
ᄋᅷ시2랑4	後世人	1		next life; another lifetime
순1	孫	1		grandchild
쉬2	水	1		water
럄4	黏	1		sticky
돠튀2	大腿	1		thigh
뎩	得	1		obtain; can
닥1짛1	觸舌	1		tongue
ᄉᆤ5켼2	消遣	1		pass the time; amuse oneself; tease
추2빌5ᄐᅷ쀄2	厝邊頭尾	1		neighbour
걈5희1	謙虛	1		humble; modest
혱5캄2	胸坎	1		chest; bottom of one's heart
밓1	物	1		thing
삔걱	民國	1		Republic; Minguo
항2롕1	肨奶	1		plump (of a baby)
신5괘4	身懸	1		height; tall
비2수	閉思	1		shy; bashful; reserved
주1곈	主見	1		opinion; independent view
톈5뗸4	天然	1		natural
고	過	1		pass
달5아2	今仔	1		today; just now
쟐4	情	1		feeling; affection
턀5랑츌	聽人唱	1		listen to people sing
짇댬1아2	一點仔	1		a little
규신4	求神	1		pray to gods
쳳1등5	切斷	1		cut off; sever
뻬롼4	迷戀	1		infatuated; obsessed
항헉1	降伏	1		subdue; tame
야체1	夜叉	1		yaksha; fierce spirit
억1귀2	惡鬼	1		evil spirit; demon
꼗걀2대4	孽鏡台	1		evil; sin; mirror; platform; Taiwan
졩4	前	1		before; front
심1퐐	審判	1		trial; judge; bring to trial
춛1랃1	出力	1		exert oneself; make an effort
쳰5밯	千百	1		hundreds and thousands
대팋1위솰1	大鐵圍山	1		big; great; mountain
뿌간5데꼑1	無間地獄	1		Avici; lowest level of hell
훼1쇼1	火燒	1		fire; burning
꼑샬4	獄城	1		prison; hell; city; wall
잡빤5	十萬	1		one hundred thousand
뵣1촁1	八千	1		eight; thousand
뼹엉4	明王	1		Wisdom King; enlightened ruler
지인2	指引	1		guide; lead
겅5뼹4	光明	1		bright; brightness
빵5	望	1		hope; look
탄1벻1	坦白	1		frank; candid; confess
거5신1	孤身	1		alone
박1임5헝5더1	北陰酆都	1		north; yin; cloudy; hidden; all
짇에랑4	一个人	1		one person
ᄋᆤ5귀2	枵鬼	1		gluttonous; hungry person; stingy
베4	爬	1		climb; crawl
임5헝1	陰風	1		sinister wind; cold wind
잡뎬꺔군1	十殿閻君	1		ten; lord; ruler
어5벻뿌셩4	烏白無常	1		black; white; not have; no; usual
알2요1	揞腰	1		stoop; bend over
럅	攝	1		take in; photograph
뻥훈4	亡魂	1		soul of a dead person; ghost
레레4	犁犁	1		plow
뫄1삔5	滿面	1		all over one's face
헝5성1	風霜	1		wind
걉	劫	1		robbery; calamity
렁아2	櫳仔	1		prison; gaol; jail
래삔5	內面	1		inside
셀	姓	1		surname
단	擲	1		throw
터카1	塗跤	1		floor
이2꽈5	意外	1		accident; unexpected
훼1엉야4	火王爺	1		fire; king
혠신1	現身	1		show oneself; appear
벻	擘	1		split; break open
후1	烌	1		dust; ash
벻셱	白色	1		white; colour
헉1제	複製	1		make; manufacture
깐2	眼	1		eye
롕훈4	靈魂	1		soul; spirit
환화	幻化	1		transform magically
아5슈5로4	阿修羅	1		Asura
대	代	1		generation; replace
캄1	堪	1		can; bear; endure
좓뻥5	絕望	1		despair; give up hope
좐1룬솅2엉4	轉輪聖王	1		turn; return; king
키1신1	起身	1		get up; start
슈1허5	守護	1		guard; protect
흥5	遠	1		far
흥흥5	遠遠	1		far
기규4	祈求	1		pray; appeal
졍2신4	眾神	1		gods; deities
촁5팡1	清芳	1		delicate fragrance; sweet scent
콸2거	看顧	1		look after; care for
주5뤼5	珠淚	1		pearl
러빌1	路邊	1		roadside
앙훼1	紅花	1		red
유1졩4	有情	1		be in love; have feelings for
유1졩졍2솅1	有情眾生	1		have; feeling; affection; life; give birth
쇼5상	相送	1		see off
운1구5교4	隱痀橋	1		hide; hidden; hunchback; bridge
주유4	自由	1		free; freedom; liberty
응2빵5	向望	1		hope; look forward to
볭볭안5안1	平平安安	1		safe and sound
젹	祝	1		wish; bless
셩5비1	傷悲	1		sad; sorrowful
뷯1	拔	1		pull out; remove
팋1롄5	鐵鏈	1		iron; chain
도2등2	倒轉	1		turn back; reverse
준5꺔4	尊嚴	1		dignity; honourable
관5헤5	關係	1		relationship; connection
개2ᄉᆤ5	介紹	1		introduce; recommend
란궤	難過	1		sad; difficult to bear
과5돨4	歌壇	1		singing world; music industry
과5뻬4	歌迷	1		fan
루1띠4	女兒	1		daughter
유5	又	1		again; also
켱1걀1	恐驚	1		perhaps; maybe; I fear that
먀샬1	名聲	1		reputation
ᄑᆤ5ᄑᆤ1	飄飄	1		fluttering
훼2ᄐᅷ4	歲頭	1		age
옌5지5쥐1훈2	胭脂水粉	1		water; flour; powder
달1반5	打扮	1		dress up; make up
뿌1대4	舞台	1		dance; platform; Taiwan
ᄇᆤ1옌2	表演	1		perform; performance
과5츌	歌唱	1		song
뻬훈4	迷魂	1		enchant; lose one's soul
쵸2뿐뿐4	笑文文	1		smile gently
질꾼4	錢銀	1		money
뿌1걀2	母囝	1		mother and child
셩5이5위뼹5	相依為命	1		depend on each other for survival
로커2	勞苦	1		labour; toil; suffering
끼룬5	議論	1		discuss; discussion; debate
롼훈훈5	亂紛紛	1		chaotic; random
먀운5	命運	1		fate; destiny
혱2추	興趣	1		interest
챨영2	晟養	1		bright; flourishing; raise; nourish
봏졩렁4	薄情郎	1		thin; feeling; affection
롕롁1	能力	1		ability; capability; capacity
왛당5	活動	1		activity; move
졘뎽4	前程	1		future; prospects
호1빵5	好夢	1		good dream
재5붸4	栽培	1		plant; cultivate; foster
로마1띠5	羅馬字	1		Latin alphabet; romanisation
김5	妗	1		maternal uncle's wife
아5김5	阿妗	1		maternal aunt
환훼1	繁花	1		blooming flowers
퍼2	譜	1		score; record
분1래4	本來	1		originally
턀2탕	疼痛	1		pain; love
춛1꺕1	出業	1		graduate
항5	項	1		item; neck
쟘시4	暫時	1		time
분1질4	本錢	1		capital
당5	動	1		move; act
졩	正	1		correct; proper
혱위4	行為	1		behaviour; conduct
볙	逼	1		force; press
붇1졩	不正	1		crooked; improper; dishonest
귀	貴	1		expensive; noble
ᄐᅷ취	頭喙	1		number of people
돠뒤1	大堆	1		big; great
샹1	雙	1		pair; double
샹5카1	雙跤	1		both feet
틸2튀2	牚腿	1		stiff and sore legs
ᄉᆤ1	銷	1		sell; melt
켹1퀴1	克虧	1		disadvantageous; be at a disadvantage; pitiful
러1빻	滷肉	1		meat
러2	滷	1		stew in soy sauce; thick sauce
러1빻1븡5	滷肉飯	1		braised pork rice
옝5개1	應該	1		should; ought to; deserve
새2	使	1		use; make
돠괴5쇼1항5	大街小巷	1		main streets and back lanes; throughout the city
짇분2	一本	1		one book; one volume
ᄏᆤ2	巧	1		skillful; clever
얄ᄀᆤ2	贏筊	1		win; divination blocks
게5훼2	家賄	1		home; family
ᄀᅷ2쀄1아2	到尾仔	1		finally; in the end
죄2괄1	做官	1		become an official; hold a government post
캐1	開	1		open
돠돠5	大大	1		greatly; enormously
쇠2쇠	細細	1		very thin; very fine; very careful
걈1	兼	1		concurrently; simultaneously; both
어5세1	烏紗	1		black gauze cap
에5	挨	1		endure; next to
ᄅᅷ벻1셀	老百姓	1		common people
ᄉᆤ1탐1	痟貪	1		insatiably greedy
대띤4	大人	1		adult
게5	低	1		low
삔되1풰4	面底皮	1		face; surface; where; which
칟1아2	姼仔	1		girlfriend
러레4	露螺	1		snail; Rolex
펑2헝1	膨風	1		bloated; brag; boast
치5참2	悽慘	1		sad; miserable; tragic
가1	加	1		add; increase
ᄋᆤ	要	1		important; want
죄2랑4	做人	1		conduct oneself; behave properly
구2	久	1		long time
삐5	味	1		taste; flavor
위좔1율5	為怎樣	1		for; because of
수5롼4	思戀	1		yearn for; keep in mind
훈심1	狠心	1		ruthless
롼5	亂	1		chaotic; random
빵빵4	茫茫	1		vast; hazy
샹5랑4	雙人	1		two people; pair
쇼5와2	相倚	1		be close to each other
쇼1허솰	小雨傘	1		condom
쇼1러5	小路	1		path
팰1걀4	歹行	1		bad; walk; go
낫1리2	哪裡	1		where
캉1	空	1		empty; air
캉5취2봏짛1	空喙薄舌	1		sharp-tongued; talkative
닫1	達	1		reach; achieve
셴5릐2	仙女	1		celestial maiden; fairy; immortal
시1	施	1		carry out; bestow
세5시1	西施	1		Xi Shi; beautiful woman
쳰5쳰5빤빤5	千千萬萬	1		thousand; ten thousand
간1단1	簡單	1		simple; easy
셷1게	設計	1		design; plan
완5슈4	冤仇	1		enmity; rancour
달2	打	1		hit; strike
토1제	討債	1		debt
수5랑4	輸人	1		lose to others; be inferior
ᄋᅷ배2	後擺	1		next time; in the future
샴2	閃	1		flash; dodge
당죄4	同齊	1		together
뎽1시	頂世	1		previous life; former incarnation
좋1	昨	1		yesterday
지	誌	1		record; journal
코1이2	可以	1		use; by means of
톈5톻1	顛踱	1		fool around; dawdle
주유주재5	自由自在	1		free and easy; carefree
벻찯1	白賊	1		lie; tell a lie
폔2랑4	騙人	1		deceive people
방곙1	房間	1		room; house
걱1랑4	各人	1		each person; everyone
슈5	受	1		receive; suffer
쟙1슈5	接受	1		accept; receive
귈1	關	1		close
